Alternative New Code,D365 Name,Serial Required
1050007370,"SOLDADURE, ELECTRODO, 4 MM, CHANFECORD",no
1050008150,"WELDING WIRE, SK A38-0, 2.4 MM",no
1050007810,"WELDING ROD, 1/8"", AP E6011, CELLOCOR",no
1050007820,"WELDING ROD, 1/8"", CITOFONTE",no
1050007830,"WELDING ROD, 3/32"" , AWS E312, 29/9, INOX",no
1050007840,"WELDING ROD, 29/9"", AWS E312-16, INOX",no
1050008160,"WELDING WIRE, 7018, 3/32""",no
1050008170,"WELDING WIRE, TUBULAR WIRE, AWS ER70S, 1.2 MM",no
1050007850,"WELDING ROD, 1/8"", CITOBRONZE",no
1050008180,"WELDING WIRE, UTP, 6020M 3.2MM",no
1050007860,"WELDING ROD, SILVER",no
1050007870,"WELDING ROD, SUPERSITO, E7018, 1/8""",no
1030000710,0,no
1050007880,"WELDING ROD, 1.00 MM X 250 GRAMS, TIN",no
1050007890,"WELDING ROD, 1000 1/8"", 3.25MM, CITODUR",no
1050007900,"WELDING ROD, RODOFIL, 700R, 5/32",no
1050007910,"WELDING WIRE , TUBULAR WIRE, SK A45-0, 2.4MM",no
2070036940,"CUP SAW, 14-30MM, BAHCO",no
1040000350,"HARNESS, SAFETY, FULL BODY",no
1010001240,"ROLLER, PAINT",no
1010001250,"CERAMIC FIBER BLANKET, HP",no
1050008190,"WELDING WIRE, TUB, 1.6MM, 81NI2-V 8018-C1",no
2050019230,"HOSE CLAMP, 1 A 1,5",no
2050019240,"PIPE HOLDER CLAMP, 68-77",no
2050019250,"CLAMP, NYLON LARGE, 2.0 X 13 X 540 MM",no
2050019260,"CLAMP, NYLON MEDIUM, 2.0 X 7.6 X 400 MM",no
2050019270,"CLAMP, NYLON SMALL, 21.5 X 5 X 220 MM",no
1030004060,"ALCOHOL ISOPROPYLIC, 5 L",no
1110000850,"RING, PADLOCK, SUP 2 GG20",no
1010001260,"RING METER, 350 MM",no
1010001270,"PRESSURE RING, EIXO DYNEX, DIN 471 190",no
1030002050,"LUBRICANT, AEROSOL, 300 ML",no
1050008200,"WELDING WIRE, AWS A5.28, ER LI OSG ER 100 S-G, 1.0 MM",no
1050008210,"WELDING WIRE, AWS A5.18, ER70S-6, 1.6 MM",no
1050008220,"WELDING WIRE, 1.6mm, KST TUB HCR 67 OA, KESTRA, 12.5 KG",no
1120000250,"STEEL CABINATE, OFFICE, 2 DOOR",no
2070013790,"POP RIVET, 4X1,5MM",no
1080000070,"FLAT BARA, COPPER, 1"" X 1/8""",no
1080001730,"ROUND BAR, 1/2""",no
1050003480,"NOZZLE, TORCH, N10",no
1050003490,"NOZZLE, TORCH, N12",no
1050003500,"NOZZLE, TORCH, N8",no
2070000240,"BOLT, 1 1/4''X 30, SAE 1020",no
2070024650,"PLUG, 900599-16",no
1110000130,BROOM,no
2020008960,"CABLE, PP 3 X 1.5MM",no
2050028630,"GLAND, ASBESTOS, GRAPHITE LUBRICATION, 5/16""",no
1010001280,"CONDUIT, FOR WELDING MIG, Ø1.2 MM",no
1050007290,"LINER, WIRE FEEDER, Ø1.6 MM MIG TORCH",no
2070011260,"LOCKING PIN, 1/4"" X 3""",no
1050007380,"WELDING ELECTRODE, 6013, 2.5 MM",no
1050007390,"WELDING ELECTRODE, 6013, 3.5 MM",no
1050007400,"GRAPHITE ELECTRODE, 5 MM",no
1050007410,"GRAPHITE ELECTRODE, 8 MM",no
1050007420,"WELDING ELECTRODE, E308L, 2.5 MM, KST",no
2020015450,"BRUSH OF COAL, 40.0 x 25.0 x 20.0",no
1010000760,MASKING TAPE,no
1080000060,"SHEET, ASBESTOS, 1/69''",no
